invoice_number,invoice_type,return_id,order_date,order_time,total_amount,store_id,brand
INV-001,SALES,,10/04/2026,20:12:00,1250.00,ST1008,FOH_MAKEUP
INV-001,SALES,,10/04/2026,20:12:00,875.50,ST1008,FOH_MAKEUP
INV-002,SALES,,10/04/2026,20:18:00,2100.00,ST1008,FACES_CANADA
INV-003,SALES,,10/04/2026,20:25:00,450.00,ST1008,GOOD_VIBES
INV-004,SALES,,10/04/2026,20:31:00,3200.00,ST1008,NY_BAE
INV-005,SALES,,10/04/2026,20:45:00,180.00,ST1008,MINIMALIST
INV-006,SALES,,10/04/2026,20:52:00,4500.00,ST1008,DERMdoc
INV-007,SALES,,10/04/2026,21:05:00,760.00,ST1008,FOH_MAKEUP
INV-008,SALES,,10/04/2026,21:15:00,920.00,ST1008,FACES_CANADA
INV-009,SALES,,10/04/2026,21:28:00,340.00,ST1008,GOOD_VIBES
INV-010,SALES,,10/04/2026,21:40:00,1800.00,ST1008,NY_BAE
INV-011,SALES,,10/04/2026,21:55:00,2750.00,ST1008,DERMdoc
INV-012,SALES,,10/04/2026,22:10:00,500.00,ST1008,MINIMALIST
INV-013,SALES,,10/04/2026,22:22:00,1100.00,ST1008,FOH_MAKEUP
INV-014,SALES,,10/04/2026,22:35:00,890.00,ST1008,FACES_CANADA
INV-015,SALES,,10/04/2026,22:48:00,3300.00,ST1008,NY_BAE
INV-016,RETURNS,RET-001,10/04/2026,23:00:00,450.00,ST1008,GOOD_VIBES
INV-017,SALES,,10/04/2026,23:10:00,1650.00,ST1008,DERMdoc
INV-018,SALES,,10/04/2026,23:25:00,720.00,ST1008,MINIMALIST
INV-019,SALES,,10/04/2026,23:40:00,2400.00,ST1008,FOH_MAKEUP
INV-020,SALES,,10/04/2026,23:55:00,980.00,ST1008,FACES_CANADA
INV-021,SALES,,11/04/2026,00:10:00,1350.00,ST1008,NY_BAE
INV-022,SALES,,11/04/2026,00:22:00,4.50,ST1008,GWP
INV-023,SALES,,11/04/2026,00:35:00,3100.00,ST1008,DERMdoc
INV-024,SALES,,11/04/2026,00:50:00,600.00,ST1008,MINIMALIST
